,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field.tree.canopy.symptoms,field.optional...did.the.tree.have.heat.damage,field.percent.canopy.affected....,field.dieback.percent,field.number.of.additional.unhealthy.trees..of.same.species..in.area..within.sight.,field.percent.of.trees..of.same.species..within.sight.that.are.unhealthy,field.other.factors...are.there.signs.or.symptoms.of.insect..diseases..or.other.damage.,field.optional...what..other.factors..were.observed.,field.optional...tree.size,field.optional...site.type,field.optional...site.location.description,field.optional...site.area.disturbance.level,field.optional...site.hydrology,field.optional...access.to.water,field.optional...slope.position,field.optional...were.there.any.other.unhealthy.plant.species.on.the.site.,field.optional...timing.of.symptoms.estimate,field.optional...estimated.time.spent.to.make.this.observation....of.minutes.,field.optional...can.we.follow.up.with.you.,field.notes,binary.tree.canopy.symptoms,reclassified.tree.canopy.symptoms,period-all-dist,period-all-nfeat-id,period-all-nfeat-period,period-eph-dist,period-eph-nfeat-id,period-eph-nfeat-period,period-int-dist,period-int-nfeat-id,period-int-nfeat-period,period-min-eph-dist,period-min-eph-nfeat-id,period-min-eph-nfeat-period,period-min-int-dist,period-min-int-nfeat-id,period-min-int-nfeat-period,period-per-dist,period-per-nfeat-id,period-per-nfeat-period,period-unk-dist,period-unk-nfeat-id,period-unk-nfeat-period
1261,100087686,2021-11-02 10:36:01,2021-11-02,2021-11-02 10:36:01 UTC,UTC,5117318,duck_duck_beck,Rebecca Rising,2021-11-02 19:30:15 UTC,2022-03-15 02:46:54 UTC,needs_id,,https://www.inaturalist.org/observations/100087686,https://static.inaturalist.org/photos/166999327/medium.jpeg,NA,,,1,0,false,2,"Ross Lake National Recreation Area, North Cascades National Park Service Complex, Whatcom County, US-WA, US",48.66890526,-121.28024873,13,,NA,NA,13,,open,false,,,,Whatcom,Washington,United States,Washington,Whatcom,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Tree is dead,Not Sure,tree is dead,NA,More than 10,90,Not sure,No selection,Medium (can wrap arms around trunk),Rural,Forest edge,"Low - fairly natural, not much development",No Selection,Tree does not typically have access to water in summer,Area is flat (e.g. field),Not sure,Not sure,8,Yes,At Newhalem shooting range within north cascades natl park,Unhealthy,Tree is Dead,421.1477933316844,polygon:{58201A28-E75A-4CAA-85DC-FB2F3BA93E08},Perennial,92438.32125184528,line:{EA3620C2-CF6F-462D-B4D2-397C88C74A26},Ephemeral,2058.9617701585357,line:161413560,Intermittent,421.1477933316844,polygon:{58201A28-E75A-4CAA-85DC-FB2F3BA93E08},Perennial,421.1477933316844,polygon:{58201A28-E75A-4CAA-85DC-FB2F3BA93E08},Perennial,421.1477933316844,polygon:{58201A28-E75A-4CAA-85DC-FB2F3BA93E08},Perennial,11150.415396180386,line:{C9EB66AC-B438-4637-A1B6-121373803F4C},Unknown
1264,100254943,Mon Nov 01 2021 13:54:59 GMT-0700 (PDT),2021-11-01,2021-11-01 20:54:59 UTC,Pacific Time (US & Canada),4438793,atompyrite,,2021-11-04 19:15:18 UTC,2021-11-04 22:59:41 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/100254943,https://inaturalist-open-data.s3.amazonaws.com/photos/167301310/medium.jpg,NA,,,0,0,false,3,"Jefferson Beach Rd NE, Kingston, WA, US",47.7611694336,-122.4771195346,65,,NA,NA,65,,open,false,,,,Kitsap,Washington,United States,Washington,Kitsap,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Other (please describe in Notes),No selection,"Healthy, no dieback(0%)",NA,0,NA,"Yes (please elaborate in Notes, add Picture if possible)",,,,,,,,,,,60,,,Unhealthy,Other,397.50002336300406,line:{38933234-E4FF-48BA-822F-1402F350BE31},Perennial,87888.09283982428,line:{78F2C030-2230-4B7E-ADCA-D9DACDF13079},Ephemeral,829.5865072362776,line:155179134,Intermittent,397.50002336300406,line:{38933234-E4FF-48BA-822F-1402F350BE31},Perennial,397.50002336300406,line:{38933234-E4FF-48BA-822F-1402F350BE31},Perennial,397.50002336300406,line:{38933234-E4FF-48BA-822F-1402F350BE31},Perennial,36770.446084254276,line:b8ac4971-7ee7-4076-8183-236e2cb8e648,Unknown
1265,100349458,Fri Nov 05 2021 13:26:19 GMT-0700 (PDT),2021-11-05,2021-11-05 20:26:19 UTC,Pacific Time (US & Canada),5188812,toni251,Toni Loken,2021-11-05 22:17:04 UTC,2021-12-10 21:59:52 UTC,research,,https://www.inaturalist.org/observations/100349458,https://static.inaturalist.org/photos/167471460/medium.jpg,NA,,,1,0,false,3,"Bresemann Forest, Tacoma, WA, US",47.1254888333,-122.4494533333,5,,NA,NA,5,,open,false,,,,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",NA,0,NA,Not sure,No selection,Small (can wrap hands around trunk),Suburban,Inside a forest canopy,"Medium (moderately used trails, etc)","Wetland, lots of water",Tree may have occassional access to water in summer (watered by someone),Middle of a slope,Not sure,Not sure,10,No preference,,Healthy,Healthy,124.01796739981141,line:155186166,Perennial,71592.12018563609,line:163245611,Ephemeral,481.19088840669457,line:155182877,Intermittent,124.01796739981141,line:155186166,Perennial,124.01796739981141,line:155186166,Perennial,124.01796739981141,line:155186166,Perennial,22462.73197486152,line:91425015-d5ec-4867-a8fb-fc2c0b365d0c,Unknown
1266,100349810,Fri Nov 05 2021 13:19:15 GMT-0700 (PDT),2021-11-05,2021-11-05 20:19:15 UTC,Pacific Time (US & Canada),5188812,toni251,Toni Loken,2021-11-05 22:22:02 UTC,2021-11-09 00:36:19 UTC,research,,https://www.inaturalist.org/observations/100349810,https://static.inaturalist.org/photos/167472014/medium.jpg,NA,,,1,0,false,3,"Bresemann Forest, Tacoma, WA, US",47.12555,-122.44958,5,,NA,NA,5,,open,false,,,,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,Not Sure,"Healthy, no dieback(0%)",NA,0,NA,Not sure,No selection,Very Large (would take many people to wrap arms around trunk),Suburban,Inside a forest canopy,"Medium (moderately used trails, etc)","Wetland, lots of water",Tree has access to water year round (watered in summer or near permanent water source),Lower slope,Not sure,Not sure,10,No preference,,Healthy,Healthy,127.43481587807263,line:155186166,Perennial,71603.23695023953,line:163245611,Ephemeral,469.6032717982252,line:155182877,Intermittent,127.43481587807263,line:155186166,Perennial,127.43481587807263,line:155186166,Perennial,127.43481587807263,line:155186166,Perennial,22473.30224348591,line:91425015-d5ec-4867-a8fb-fc2c0b365d0c,Unknown
1267,100408079,Thu Nov 04 2021 14:54:01 GMT-0700 (PDT),2021-11-04,2021-11-04 21:54:01 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2021-11-06 16:35:12 UTC,2021-12-10 21:59:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100408079,https://inaturalist-open-data.s3.amazonaws.com/photos/167579286/medium.jpg,NA,,,1,0,false,3,"Perkins Ln W, Seattle, WA, US",47.6516716667,-122.416695,22,,NA,NA,22,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No selection,"Healthy, no dieback(0%)",NA,0,NA,Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,Healthy,Healthy,170.02594245555267,line:{D1E14C4F-95FD-416F-9594-4CE546786243},Perennial,78400.23236724509,line:{78F2C030-2230-4B7E-ADCA-D9DACDF13079},Ephemeral,292.7201627776992,line:155180095,Intermittent,170.02594245555267,line:{D1E14C4F-95FD-416F-9594-4CE546786243},Perennial,170.02594245555267,line:{D1E14C4F-95FD-416F-9594-4CE546786243},Perennial,170.02594245555267,line:{D1E14C4F-95FD-416F-9594-4CE546786243},Perennial,29697.035001997276,line:165399070,Unknown
1268,100408266,Thu Nov 04 2021 14:58:44 GMT-0700 (PDT),2021-11-04,2021-11-04 21:58:44 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2021-11-06 16:38:04 UTC,2021-12-10 21:59:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100408266,https://inaturalist-open-data.s3.amazonaws.com/photos/167579596/medium.jpg,NA,,,1,0,false,3,"Perkins Ln W, Seattle, WA, US",47.6450216667,-122.4167466667,4,,NA,NA,4,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No selection,"Healthy, no dieback(0%)",NA,0,NA,Not sure,No selection,No selection,No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,Healthy,Healthy,69.07242500200032,line:{C66970B4-9D96-4FA1-9C30-E6838EED9ABA},Perennial,78112.72489806425,line:{78F2C030-2230-4B7E-ADCA-D9DACDF13079},Ephemeral,170.4650354217255,line:155180126,Intermittent,69.07242500200032,line:{C66970B4-9D96-4FA1-9C30-E6838EED9ABA},Perennial,69.07242500200032,line:{C66970B4-9D96-4FA1-9C30-E6838EED9ABA},Perennial,69.07242500200032,line:{C66970B4-9D96-4FA1-9C30-E6838EED9ABA},Perennial,29007.19116273033,line:165399070,Unknown
1271,100748581,Mon Nov 08 2021 13:37:14 GMT-0800 (PST),2021-11-08,2021-11-08 19:37:14 UTC,Central Time (US & Canada),3898930,michael_james_burkhow,Michael James Burkhow,2021-11-10 04:46:05 UTC,2021-12-10 21:59:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100748581,https://inaturalist-open-data.s3.amazonaws.com/photos/168180493/medium.jpg,NA,,"Hiked around this small open space. Their seemed to be 2 zones. There were many healthy redcedars along the high trail closest to the neighborhood, while the lower portion exhibited widespread dieback. The above tree was mostly dead with only the lowest branches alive. This dieback has been ongoing for a long time I think. There were cedars that appeared long dead with evidence of woodpecker cavities.",1,0,false,3,"Woodridge Open Space, Bellevue, WA, US",47.6008633333,-122.17298,24,,NA,NA,24,,open,false,,,Bellevue City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),No,60-99% of the canopy is unhealthy,NA,More than 10,70,Not sure,No selection,Medium (can wrap arms around trunk),No Selection,No Selection,No Selection,No Selection,No selection,No selection,No selection,No selection,,No Selection,,Unhealthy,Dead Top,69.88536363567054,line:148895741,Perennial,59436.06181847607,line:{78F2C030-2230-4B7E-ADCA-D9DACDF13079},Ephemeral,285.524830062155,line:148898728,Intermittent,69.88536363567054,line:148895741,Perennial,69.88536363567054,line:148895741,Perennial,69.88536363567054,line:148895741,Perennial,23533.97108516614,line:165399070,Unknown
1272,100801304,2021-11-09,2021-11-09,,UTC,5117318,duck_duck_beck,Rebecca Rising,2021-11-10 22:02:17 UTC,2022-07-31 16:16:32 UTC,research,,https://www.inaturalist.org/observations/100801304,https://static.inaturalist.org/photos/168275871/medium.jpeg,NA,,,1,0,false,2,"Marblemount, WA, USA",48.5464122085,-121.4319065586,875,,NA,NA,875,,open,false,,,,Skagit,Washington,United States,Washington,Skagit,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,Not Sure,"Healthy, no dieback(0%)",NA,Not sure,50,Not sure,No selection,Medium (can wrap arms around trunk),Rural,Forest edge,Other,Upland or well drained,Tree has access to water year round (watered in summer or near permanent water source),Area is flat (e.g. field),Not sure,No selection,8,Yes,,Unhealthy,Thinning Canopy,289.4375901548669,line:161423092,Perennial,85439.20667258695,line:{EA3620C2-CF6F-462D-B4D2-397C88C74A26},Ephemeral,321.6053700713897,line:161422812,Intermittent,289.4375901548669,line:161423092,Perennial,289.4375901548669,line:161423092,Perennial,289.4375901548669,line:161423092,Perennial,9564.144144933938,line:{C9EB66AC-B438-4637-A1B6-121373803F4C},Unknown
1273,100830971,Wed Nov 10 2021 14:27:12 GMT-0800 (PST),2021-11-10,2021-11-11 00:27:12 UTC,Hawaii,500327,jmhulbert,Joey H,2021-11-11 05:33:16 UTC,2021-12-10 21:59:56 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/100830971,https://inaturalist-open-data.s3.amazonaws.com/photos/168329825/medium.jpg,NA,,,1,0,true,3,"Pierce College - Puyallup, Puyallup, WA, US",47.1587945,-122.2738583333,9,,NA,NA,9,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,New Dead Top (red or brown needles still attached),No selection,30-59% of the canopy is unhealthy,NA,4-6,NA,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,Tree may have occassional access to water in summer (watered by someone),Area is flat (e.g. field),No selection,Symptoms first observed in 2020,45,No Selection,,Unhealthy,Dead Top,804.9119692910047,line:165518478,Intermittent,65071.11740044442,line:{6A398461-90B0-4646-B58A-458E991290A2},Ephemeral,804.9119692910047,line:165518478,Intermittent,804.9119692910047,line:165518478,Intermittent,804.9119692910047,line:165518478,Intermittent,1479.9202684190589,line:165518925,Perennial,17392.150731939597,line:165399014,Unknown
1274,100831081,Wed Nov 10 2021 14:01:30 GMT-0800 (PST),2021-11-10,2021-11-11 00:01:30 UTC,Hawaii,500327,jmhulbert,Joey H,2021-11-11 05:36:23 UTC,2021-12-10 21:59:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100831081,https://inaturalist-open-data.s3.amazonaws.com/photos/168330121/medium.jpg,NA,,,1,0,false,3,"Pierce College - Puyallup, Puyallup, WA, US",47.15765,-122.2702783333,4,,NA,NA,4,,open,false,,,"Puyallup, WA",Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,New Dead Top (red or brown needles still attached),No selection,1-29% of the canopy is unhealthy,NA,7-10,40,Not sure,No selection,Large (too big to wrap arms around trunk),Urban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,Tree does not typically have access to water in summer,Lower slope,No selection,No selection,25,No Selection,,Unhealthy,Dead Top,1090.1700275013297,line:165518478,Intermittent,64860.2703865149,line:{6A398461-90B0-4646-B58A-458E991290A2},Ephemeral,1090.1700275013297,line:165518478,Intermittent,1090.1700275013297,line:165518478,Intermittent,1090.1700275013297,line:165518478,Intermittent,1688.2372752546837,line:165518925,Perennial,17484.741686778703,line:165399014,Unknown
