npoint-lon,npoint-lat,npoint-dist,npoint-location,npoint-index,nline-OBJECTID,nline-WC_ID,nline-WC_LLID_NR,nline-WC_LN_TYPE,nline-WC_LN_TY_1,nline-WC_CART_FT,nline-WC_CART__1,nline-WC_HYDR_FT,nline-WC_HYDR__1,nline-WC_FLOW_PA,nline-WC_FLOW__1,nline-WC_CONTU_C,nline-WC_CONTU_L,nline-WC_PERIOD_,nline-WC_PERIO_1,nline-WC_GNIS_NM,nline-WC_GNIS_NR,nline-FP_REF_ID,nline-FP_WTRTY_C,nline-FP_WTRTY_N,nline-FP_EXP_CD,nline-FP_WTRTY_E,nline-FP_PERIOD_,nline-FP_PERIO_1,nline-FP_VER_CD,nline-FP_VER_LAB,nline-FP_WTRTY_A,nline-FP_WTRTY_1,nline-FP_WTRTY_2,nline-FTR_MOD_CD,nline-FTR_MOD_LA,nline-FTR_INPUT_,nline-FTR_INPU_1,nline-FTR_INTRP_,nline-FTR_INTR_1,nline-FTR_SRC_CD,nline-FTR_SRC_LA,nline-FTR_SRC_DT,nline-FTR_ORG_CD,nline-FTR_SRCSCA,nline-SL_WTRTY_C,nline-SL_WTRTY_L,nline-SL_WTRTY_E,nline-DNR_OUTPUT,nline-PDF_LOCATI,nline-FP_WTRTY_S,nline-EDIT_NM_CD,nline-EDIT_DT,nline-WC_SUBTYPE,nline-WC_SUBTY_1,nline-SHAPELEN,opoint-,opoint-id,opoint-observed_on_string,opoint-observed_on,opoint-time_observed_at,opoint-time_zone,opoint-user_id,opoint-user_login,opoint-user_name,opoint-created_at,opoint-updated_at,opoint-quality_grade,opoint-license,opoint-url,opoint-image_url,opoint-sound_url,opoint-tag_list,opoint-description,opoint-num_identification_agreements,opoint-num_identification_disagreements,opoint-captive_cultivated,opoint-oauth_application_id,opoint-place_guess,opoint-latitude,opoint-longitude,opoint-positional_accuracy,opoint-private_place_guess,opoint-private_latitude,opoint-private_longitude,opoint-public_positional_accuracy,opoint-geoprivacy,opoint-taxon_geoprivacy,opoint-coordinates_obscured,opoint-positioning_method,opoint-positioning_device,opoint-place_town_name,opoint-place_county_name,opoint-place_state_name,opoint-place_country_name,opoint-place_admin1_name,opoint-place_admin2_name,opoint-species_guess,opoint-scientific_name,opoint-common_name,opoint-iconic_taxon_name,opoint-taxon_id,opoint-field.tree.canopy.symptoms,opoint-field.optional...did.the.tree.have.heat.damage,opoint-field.percent.canopy.affected....,opoint-field.dieback.percent,opoint-field.number.of.additional.unhealthy.trees..of.same.species..in.area..within.sight.,opoint-field.percent.of.trees..of.same.species..within.sight.that.are.unhealthy,opoint-field.other.factors...are.there.signs.or.symptoms.of.insect..diseases..or.other.damage.,opoint-field.optional...what..other.factors..were.observed.,opoint-field.optional...tree.size,opoint-field.optional...site.type,opoint-field.optional...site.location.description,opoint-field.optional...site.area.disturbance.level,opoint-field.optional...site.hydrology,opoint-field.optional...access.to.water,opoint-field.optional...slope.position,opoint-field.optional...were.there.any.other.unhealthy.plant.species.on.the.site.,opoint-field.optional...timing.of.symptoms.estimate,opoint-field.optional...estimated.time.spent.to.make.this.observation....of.minutes.,opoint-field.optional...can.we.follow.up.with.you.,opoint-field.notes,opoint-binary.tree.canopy.symptoms,opoint-reclassified.tree.canopy.symptoms
-13621935.8896714,6058797.119329134,3.8216600242625662,0.022725281517603446,0,113095,122407,1223789477118,10,Single strm,412,Stream/river,ST,Streams,3,Single line,CON,Continuous,UNK,Unknown,Pipers Creek,1510409,,F,Fish,F1,2005-03-01T08:00:00.000Z,p,Perennial,U,Unknown,1899-11-30T08:00:00.000Z,4,1992-01-01T08:00:00.000Z,ADD,Addition,2,Scan,7,Source map,1,USGS Map,1753-01-01T07:52:58.000Z,WaDNR,24000,4,Type 4,1992-01-01T08:00:00.000Z,100000,,MODEL,fpgroup,2005-03-01T08:00:00.000Z,1001,Stream,446.249354547323,1,4601133,2016-11-19 9:14:24 AM PST,2016-11-19,2016-11-19 17:14:24 UTC,Pacific Time (US & Canada),300689,ewrunn1ng,Eric Running,2016-11-19T21:53:06,2021-03-15T02:34:52,research,CC-BY-NC,http://www.inaturalist.org/observations/4601133,https://inaturalist-open-data.s3.amazonaws.com/photos/5562305/medium.jpeg,NA,,,1,0,false,2,"Pipers Creek Trail Seattle, WA 98177",47.7103004456,-122.3679733276,NA,,NA,NA,NA,,,false,gps,gps,,King,Washington,United States,Washington,King,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",NA,0,NA,Not sure,No selection,Small (can wrap hands around trunk),,,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,,,,,,,Healthy,Healthy
-13656640.420731781,6111366.755283302,320.7224494537769,0,0,200590,216246,1226887480306,10,Single strm,412,Stream/river,ST,Streams,3,Single line,CON,Continuous,UNK,Unknown,,0,,N,Non-fish,N6,2005-03-01T08:00:00.000Z,u,Unknown,U,Unknown,1899-11-30T08:00:00.000Z,9,2003-10-10T07:00:00.000Z,ADD,Addition,6,Heads-up,4,Crenulation,1,USGS Map,1753-01-01T07:52:58.000Z,Sewall,24000,9,Type 9,2003-10-10T07:00:00.000Z,24000,,MODEL,fpgroup,2005-03-01T08:00:00.000Z,1001,Stream,116.395164714863,2,6913373,2017/07/02 11:31 PM -0700,2017-07-02,2017-07-03 06:31:00 UTC,Arizona,521876,kurtsteinbach,Kurt Steinbach,2017-07-04T06:32:57,2021-09-06T00:31:47,research,CC-BY-NC,https://www.inaturalist.org/observations/6913373,https://inaturalist-open-data.s3.amazonaws.com/photos/8826605/medium.jpeg,NA,,,1,0,false,NA,"Marrowstone, WA 98358, USA",48.0243496245,-122.6784553527,15,,NA,NA,15,,,false,,,,Jefferson,Washington,United States,Washington,Jefferson,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",NA,0,0,No,No selection,Large (too big to wrap arms around trunk),Rural,Inside a forest canopy,"Low - fairly natural, not much development",Seasonally flooded area,,Floodplain or valley bottom,No,No selection,5,Yes,I have been observing this tree for 31 years.  I has always been healthy.,Healthy,Healthy
-13656640.420731781,6111366.755283302,1093.8416223239408,0,0,200590,216246,1226887480306,10,Single strm,412,Stream/river,ST,Streams,3,Single line,CON,Continuous,UNK,Unknown,,0,,N,Non-fish,N6,2005-03-01T08:00:00.000Z,u,Unknown,U,Unknown,1899-11-30T08:00:00.000Z,9,2003-10-10T07:00:00.000Z,ADD,Addition,6,Heads-up,4,Crenulation,1,USGS Map,1753-01-01T07:52:58.000Z,Sewall,24000,9,Type 9,2003-10-10T07:00:00.000Z,24000,,MODEL,fpgroup,2005-03-01T08:00:00.000Z,1001,Stream,116.395164714863,3,8254344,2017/10/04 10:38 AM UTC,2017-10-04,,UTC,652298,giselle9,Giselle Blythe,2017-10-04T17:47:55,2021-09-06T19:39:07,research,CC0,https://www.inaturalist.org/observations/8254344,https://inaturalist-open-data.s3.amazonaws.com/photos/10947608/medium.jpeg,NA,,,1,0,false,NA,"91 Lip Lip Ln S, Nordland, Marrowstone Is, WA, USA",48.018843,-122.671725,NA,,NA,NA,NA,,,false,,,,Jefferson,Washington,United States,Washington,Jefferson,Western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",NA,0,NA,"Yes (please elaborate in Notes, add Picture if possible)",,Large (too big to wrap arms around trunk),Rural,Forest edge,"Medium (moderately used trails, etc)",Upland or well drained,,Area is flat (e.g. field),No,,,Yes,"This tree was already large when we came here in 1978. Lots of small holes from resident downy woodpecker. Has endured cabin & garage building and installation of large underground cistern, all about 10 ft away.",Healthy,Healthy
-13030587.809234113,6044300.116385303,1.0638241836834574,0.21575332189051386,7,1124088,1212738,1171040476667,10,Single strm,412,Stream/river,ST,Streams,3,Single line,CON,Continuous,UNK,Unknown,Liberty Creek,1506147,,F,Fish,F1,2006-03-01T08:00:00.000Z,u,Unknown,U,Unknown,1899-11-30T08:00:00.000Z,3,1992-01-01T08:00:00.000Z,ADD,Addition,2,Scan,7,Source map,1,USGS Map,2004-04-05T07:00:00.000Z,WaDNR,24000,3,Type 3,1992-01-01T08:00:00.000Z,100000,,MODEL,dcqq490,2006-03-01T08:00:00.000Z,1001,Stream,840.666542560529,4,12363639,2018/04/24,2018-04-24,,Pacific Time (US & Canada),707757,mhays,,2018-05-11T22:18:36,2021-04-06T20:10:23,research,CC-BY-NC,https://www.inaturalist.org/observations/12363639,https://inaturalist-open-data.s3.amazonaws.com/photos/17809371/medium.jpeg,NA,,,2,0,false,NA,"Liberty Lake, Spokane County, WA, USA",47.6226150776,-117.0557749808,8,,NA,NA,8,,open,false,,,,Spokane,Washington,United States,Washington,Spokane,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",NA,0,NA,Not sure,,,,,,,,,,,,,,Healthy,Healthy
-13613998.877073469,6066832.724029777,2054.648568639537,2.916167132606616,103,112653,121918,1222705477461,10,Single strm,412,Stream/river,ST,Streams,3,Single line,CON,Continuous,UNK,Unknown,McAleer Creek,1506524,,F,Fish,F1,2005-03-01T08:00:00.000Z,p,Perennial,U,Unknown,1899-11-30T08:00:00.000Z,3,1992-01-01T08:00:00.000Z,ADD,Addition,2,Scan,7,Source map,1,USGS Map,1753-01-01T07:52:58.000Z,WaDNR,24000,3,Type 3,1992-01-01T08:00:00.000Z,100000,,MODEL,fpgroup,2005-03-01T08:00:00.000Z,1001,Stream,14827.068705366299,8,19184654,2018/12/23 2:05 PM PST,2018-12-23,2018-12-23 22:05:00 UTC,Pacific Time (US & Canada),300689,ewrunn1ng,Eric Running,2018-12-24T01:19:48,2021-02-02T13:10:46,research,CC-BY-NC,https://www.inaturalist.org/observations/19184654,https://inaturalist-open-data.s3.amazonaws.com/photos/29465143/medium.jpeg,NA,,,2,0,false,NA,"Briarcrest, Shoreline, WA 98155, USA",47.7430914414,-122.3109349687,15,,NA,NA,15,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",NA,0,NA,Not sure,No selection,,Suburban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,Area is flat (e.g. field),,,,No Selection,,Healthy,Healthy
-13659874.063067917,6110913.187190305,863.7113203788699,0,0,200612,216278,1227049480313,10,Single strm,412,Stream/river,ST,Streams,3,Single line,CON,Continuous,UNK,Unknown,,0,,N,Non-fish,N6,2005-03-01T08:00:00.000Z,u,Unknown,U,Unknown,1899-11-30T08:00:00.000Z,9,1992-01-01T08:00:00.000Z,ADD,Addition,6,Heads-up,1,Photogram,3,Aerial photo,1753-01-01T07:52:58.000Z,WaDNR,24000,9,Type 9,1992-01-01T08:00:00.000Z,24000,,MODEL,fpgroup,2005-03-01T08:00:00.000Z,1001,Stream,1479.5775268838502,13,27216264,2019/06/16 10:47 AM HST,2019-06-16,2019-06-16 20:47:00 UTC,Hawaii,652298,giselle9,Giselle Blythe,2019-06-18T16:18:14,2021-09-06T17:53:39,research,CC0,https://www.inaturalist.org/observations/27216264,https://inaturalist-open-data.s3.amazonaws.com/photos/42322688/medium.jpeg,NA,,,1,0,false,NA,"Marrowstone, WA 98358, USA",48.0204805556,-122.6987,10,,NA,NA,10,,open,false,,,,Jefferson,Washington,United States,Washington,Jefferson,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",NA,0,0,No,,,Rural,Forest edge,"None - natural forest, far from development","Wetland, lots of water",,Other (please describe in Notes),No,,60,Yes,This obs was just before construction started on new bridge and opening up isthmus channel for better tidal flow. Need to go back and recheck.,Healthy,Healthy
-13615213.676444659,6048376.501921672,410.07026295318667,0.4647974492365537,1,113807,123138,1224075476730,20,Inter lake,421,Lake/pond,LA,Lakes/ponds,1,Primary,CON,Continuous,PER,Perennial,,0,,S,Shorelines of the State,S3,2005-03-01T08:00:00.000Z,p,Perennial,U,Unknown,1899-11-30T08:00:00.000Z,9,2003-08-07T07:00:00.000Z,ADD,Addition,6,Heads-up,8,Best guess,99,Unknown,1753-01-01T07:52:58.000Z,Sewall,24000,1,Type 1,2003-08-07T07:00:00.000Z,24000,,,fpgroup,2005-03-01T08:00:00.000Z,2001,Lake-inter,2822.3912889333997,26,52964145,2020-05-31 5:21:45 PM PDT,2020-05-31,2020-06-01 00:21:45 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-07-13T18:15:30,2021-05-13T04:29:40,research,CC-BY-NC,https://www.inaturalist.org/observations/52964145,https://inaturalist-open-data.s3.amazonaws.com/photos/84221685/medium.jpeg,NA,,dying T. plicata,1,0,false,2,"1959 North East Pacific Street Suite 318 Box 356370, Seattle, WA 98195, Seattle, WA 98195, USA",47.6509785313,-122.3072987795,14,,NA,NA,14,,open,false,gps,gps,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Yellowing Canopy,,"Healthy, no dieback(0%)",NA,0,NA,Not sure,No selection,,Urban,Urban yard or open park grounds,,Upland or well drained,,Area is flat (e.g. field),,,,No Selection,,Unhealthy,Other
-13612781.34588184,6050397.169929793,278.2805134303581,0,0,113717,123039,1222866476495,10,Single strm,412,Stream/river,ST,Streams,3,Single line,CON,Continuous,UNK,Unknown,,0,,U,Unknown,U1,2005-03-01T08:00:00.000Z,u,Unknown,U,Unknown,1899-11-30T08:00:00.000Z,9,1992-01-01T08:00:00.000Z,ADD,Addition,2,Scan,7,Source map,1,USGS Map,1753-01-01T07:52:58.000Z,WaDNR,24000,9,Type 9,1992-01-01T08:00:00.000Z,24000,,LEGACY,fpgroup,2005-03-01T08:00:00.000Z,1001,Stream,1227.77816764294,38,61398540,Sat Sep 26 2020 11:17:47 GMT-0700 (PDT),2020-09-26,2020-09-26 18:17:47 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-01T15:54:49,2021-05-13T04:03:34,research,CC-BY-NC,https://www.inaturalist.org/observations/61398540,https://inaturalist-open-data.s3.amazonaws.com/photos/98246764/medium.jpg,NA,,Note that this tree is healthy. Classic thinning of older foliage.,1,0,false,3,"Seattle Children's Hospital, Seattle, WA, US",47.6614026155,-122.2832440962,27,,NA,NA,27,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",NA,0,NA,Not sure,No selection,,Urban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Lower slope,,,,,,Healthy,Healthy
-13601902.672513342,6135711.6199353775,337.83992625915624,0.14705793287714036,4,63137,68614,1221900481781,10,Single strm,412,Stream/river,ST,Streams,3,Single line,CON,Continuous,UNK,Unknown,,0,,F,Fish,F1,2005-03-01T08:00:00.000Z,p,Perennial,U,Unknown,1899-11-30T08:00:00.000Z,5,1992-01-01T08:00:00.000Z,ADD,Addition,2,Scan,7,Source map,1,USGS Map,1753-01-01T07:52:58.000Z,WaDNR,24000,5,Type 5,1992-01-01T08:00:00.000Z,24000,,MODEL,fpgroup,2005-03-01T08:00:00.000Z,1001,Stream,990.422947537538,39,61399467,2020-08-28 1:24:51 PM PDT,2020-08-28,2020-08-28 20:24:51 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-01T16:06:28,2021-05-07T19:00:13,research,CC-BY-NC,https://www.inaturalist.org/observations/61399467,https://inaturalist-open-data.s3.amazonaws.com/photos/98248184/medium.jpeg,NA,,Declining western redcedar trees,1,0,false,2,"Smokey Point, WA, USA",48.1705133577,-122.1901978925,72,,NA,NA,72,,open,false,gps,gps,,Snohomish,Washington,United States,Washington,Snohomish,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,30-59% of the canopy is unhealthy,NA,4-6,NA,Not sure,,,Suburban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,Area is flat (e.g. field),,,,,,Unhealthy,Dead Top
-13609976.979193853,6053109.073433765,98.58747723017254,0.3744128286948123,8,113638,122913,1222335476723,10,Single strm,412,Stream/river,ST,Streams,3,Single line,CON,Continuous,UNK,Unknown,,0,,F,Fish,F1,2005-03-01T08:00:00.000Z,p,Perennial,U,Unknown,1899-11-30T08:00:00.000Z,9,2003-08-07T07:00:00.000Z,ADD,Addition,6,Heads-up,8,Best guess,99,Unknown,1753-01-01T07:52:58.000Z,Sewall,24000,9,Type 9,2003-08-07T07:00:00.000Z,24000,,MODEL,fpgroup,2005-03-01T08:00:00.000Z,1001,Stream,3654.3398815684,40,61400313,2020-08-25 6:48:28 PM PDT,2020-08-25,2020-08-26 01:48:28 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-01T16:17:33,2021-05-07T19:10:12,research,CC-BY-NC,https://www.inaturalist.org/observations/61400313,https://inaturalist-open-data.s3.amazonaws.com/photos/98249566/medium.jpeg,NA,,Many declining western redcedar,1,0,false,2,"Sand Point, Seattle, WA 98115, USA",47.6751263319,-122.2610672191,38,,NA,NA,38,,open,false,gps,gps,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,more than 75% of the crown is unhealthy,NA,4-6,NA,,,,,,,,,,,,,,,Unhealthy,Dead Top
