"","id","observed_on_string","observed_on","time_observed_at","time_zone","user_id","user_login","user_name","created_at","updated_at","quality_grade","license","url","image_url","sound_url","tag_list","description","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","place_guess","latitude","longitude","positional_accuracy","private_place_guess","private_latitude","private_longitude","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","place_town_name","place_county_name","place_state_name","place_country_name","place_admin1_name","place_admin2_name","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id","field.tree.canopy.symptoms","field.optional...did.the.tree.have.heat.damage","field.percent.canopy.affected....","field.dieback.percent","field.number.of.additional.unhealthy.trees..of.same.species..in.area..within.sight.","field.percent.of.trees..of.same.species..within.sight.that.are.unhealthy","field.other.factors...are.there.signs.or.symptoms.of.insect..diseases..or.other.damage.","field.optional...what..other.factors..were.observed.","field.optional...tree.size","field.optional...site.type","field.optional...site.location.description","field.optional...site.area.disturbance.level","field.optional...site.hydrology","field.optional...access.to.water","field.optional...slope.position","field.optional...were.there.any.other.unhealthy.plant.species.on.the.site.","field.optional...timing.of.symptoms.estimate","field.optional...estimated.time.spent.to.make.this.observation....of.minutes.","field.optional...can.we.follow.up.with.you.","field.tree.number..from.google.map..if.applicable","field.notes","Percent.Dieback.Modified","user.estimated.dieback","field.dieback.prop","tree.size.simplified","binary.tree.canopy.symptoms","reclassified.tree.canopy.symptoms","ordinal.tree.canopy.symptoms","top.dieback","thinning"
"1",49543580,"2020-06-11 5:51:26 PM PDT","2020-06-11","2020-06-12 00:51:26 UTC","Pacific Time (US & Canada)",2785976,"alexis_mushroom","Alexis Evans","2020-06-14 05:43:50 UTC","2022-10-14 17:52:29 UTC","research","","https://www.inaturalist.org/observations/49543580","https://static.inaturalist.org/photos/78652274/medium.jpeg",NA,"","",1,0,"false",2,"MT HOOD PRKDL, OR 97041, USA",45.4021694444,-121.5705472222,NA,"",NA,NA,NA,"","open","false","gps","gps","","Hood River","Oregon","United States","Oregon","Hood River","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Not Sure","Healthy, no dieback(0%)",0,"0",NA,"Not sure","","","Rural","","None - natural forest, far from development","","","","","","","","","Redcedar growing around a Doug fir",0,"Yes",0,"","Healthy","Healthy","Healthy","No","No"
"2",70985842,"2021-03-10 3:40:37 PM PST","2021-03-10","2021-03-10 15:40:37 UTC","UTC",2785976,"alexis_mushroom","Alexis Evans","2021-03-11 05:53:20 UTC","2022-10-14 17:54:26 UTC","research","","https://www.inaturalist.org/observations/70985842","https://static.inaturalist.org/photos/115498377/medium.jpeg",NA,"","",1,0,"false",2,"Lents, Portland, OR, USA",45.4733722222,-122.5517944444,NA,"",NA,NA,NA,"","open","false","gps","gps","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Not Sure","Healthy, no dieback(0%)",0,"0",0,"Yes (please elaborate in Notes, add Picture if possible)","","","","","","","","","","","","","","Tree was cut back recently before photo was taken",0,"Yes",0,"","Healthy","Healthy","Healthy","No","No"
"3",72065878,"2021-03-25 1:20:39 PM PDT","2021-03-25","2021-03-25 20:20:39 UTC","Pacific Time (US & Canada)",2785976,"alexis_mushroom","Alexis Evans","2021-03-26 03:26:22 UTC","2022-10-14 17:57:27 UTC","research","","https://www.inaturalist.org/observations/72065878","https://static.inaturalist.org/photos/117444366/medium.jpeg",NA,"","",1,0,"false",2,"Bolton, West Linn, OR, USA",45.3716305556,-122.6156833333,NA,"",NA,NA,NA,"","open","false","gps","gps","","Clackamas","Oregon","United States","Oregon","Clackamas","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Not Sure","Healthy, no dieback(0%)",0,"0",0,"Not sure","","Small (can wrap hands around trunk)","","","Medium (moderately used trails, etc)","","","","","","","","","Planted within the last year. Part of the movement to bring more trees into the park.",0,"Yes",0,"Small","Healthy","Healthy","Healthy","No","No"
"4",105380048,"2022-01-22 10:58:12","2022-01-22","2022-01-22 10:58:12 UTC","UTC",5293028,"angela_mabel","Angela Mabel Gaither","2022-01-22 19:28:43 UTC","2022-03-17 01:37:11 UTC","research","","https://www.inaturalist.org/observations/105380048","https://static.inaturalist.org/photos/176800369/medium.jpeg",NA,"","",1,0,"false",2,"SE Fairwood Blvd & 134th Ave SE, Cascade-Fairwood, WA 98058, USA",47.45738852,-122.16143241,12,"",NA,NA,12,"","open","false","","","","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",0,"0",NA,"No","Invasive plants present or growing on tree","Medium (can wrap arms around trunk)","Suburban","","","","Tree does not typically have access to water in summer","Area is flat (e.g. field)","","","","","58","",0,"Yes",0,"Medium","Healthy","Healthy","Healthy","No","No"
"5",106558318,"Thu Feb 10 2022 17:05:47 GMT-0800 (PST)","2022-02-10","2022-02-11 01:05:47 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-11 17:24:27 UTC","2022-03-02 02:09:04 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/106558318","https://inaturalist-open-data.s3.amazonaws.com/photos/179026973/medium.jpg",NA,"","",1,0,"false",3,"E Boston St, Seattle, WA, US",47.6387633333,-122.3009716667,20,"",NA,NA,20,"","open","false","","","","King","Washington","United States","Washington","King","Western Redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",1,"0",0,"Yes (please elaborate in Notes, add Picture if possible)","Evidence of soil compaction","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Lower slope","No","This is the first time I have seen this tree","45","Yes","32","",0,"Yes",0.01,"Large","Healthy","Healthy","Healthy","No","No"
"6",106897907,"2022-02-13 14:25:41","2022-02-13","2022-02-13 14:25:41 UTC","UTC",5293028,"angela_mabel","Angela Mabel Gaither","2022-02-17 03:49:41 UTC","2022-03-16 22:16:52 UTC","research","","https://www.inaturalist.org/observations/106897907","https://static.inaturalist.org/photos/179680604/medium.jpeg",NA,"","",1,0,"false",2,"Renton, WA 98055, USA",47.4360359989,-122.1864119545,16,"",NA,NA,16,"","open","false","","","Renton City Limits","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Yes (please include photo)","Healthy, no dieback(0%)",0,"0",0,"No","Invasive plants present or growing on tree","Large (too big to wrap arms around trunk)","No Selection","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","Not sure","This is the first time I have seen this tree","","","8","",0,"Yes",0,"Large","Healthy","Healthy","Healthy","No","No"
"7",106897926,"2022-02-13 14:40:34","2022-02-13","2022-02-13 14:40:34 UTC","UTC",5293028,"angela_mabel","Angela Mabel Gaither","2022-02-17 03:50:42 UTC","2022-12-28 01:57:45 UTC","research","","https://www.inaturalist.org/observations/106897926","https://static.inaturalist.org/photos/179680681/medium.jpeg",NA,"","",2,0,"false",2,"Morning Glen, Cascade-Fairwood, WA, USA",47.440528193,-122.1927345917,13,"",NA,NA,13,"","open","false","","","Renton City Limits","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Not Sure","Healthy, no dieback(0%)",0,"0",NA,"No","","","","","","","","","","","","","12","",0,"Yes",0,"","Healthy","Healthy","Healthy","No","No"
"8",106897952,"2022-02-13 14:48:06","2022-02-13","2022-02-13 14:48:06 UTC","UTC",5293028,"angela_mabel","Angela Mabel Gaither","2022-02-17 03:51:36 UTC","2022-03-17 01:32:16 UTC","casual","","https://www.inaturalist.org/observations/106897952","https://static.inaturalist.org/photos/179680759/medium.jpeg",NA,"","",1,0,"true",2,"Renton, WA 98055, USA",47.4349676036,-122.2049205378,11,"",NA,NA,11,"","open","false","","","Renton City Limits","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Yes (please include photo)","Healthy, no dieback(0%)",0,"0",NA,"No","Invasive plants present or growing on tree","Medium (can wrap arms around trunk)","Suburban","Urban yard or open park grounds","","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","Area is flat (e.g. field)","No","This is the first time I have seen this tree","","","70","",0,"Yes",0,"Medium","Healthy","Healthy","Healthy","No","No"
"9",106947543,"Thu Feb 17 2022 16:01:49 GMT-0800 (PST)","2022-02-17","2022-02-18 00:01:49 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-18 00:08:20 UTC","2022-02-18 20:22:10 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/106947543","https://inaturalist-open-data.s3.amazonaws.com/photos/179773196/medium.jpg",NA,"","1% dieback (tree ID number 17)",1,0,"false",3,"Dayton Ave N, Seattle, WA, US",47.73358,-122.35298,13,"",NA,NA,13,"","open","false","","","","King","Washington","United States","Washington","King","Western Redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",1,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","35","Yes","17","",0,"Yes",0.01,"Large","Healthy","Healthy","Healthy","No","No"
"10",106948874,"Thu Feb 17 2022 16:17:35 GMT-0800 (PST)","2022-02-17","2022-02-18 00:17:35 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-18 00:40:44 UTC","2022-02-18 20:25:59 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/106948874","https://inaturalist-open-data.s3.amazonaws.com/photos/179775869/medium.jpg",NA,"","",1,0,"false",3,"Seventh Ave NW, Seattle, WA, US",47.7241833333,-122.3651366667,65,"",NA,NA,65,"","open","false","","","","King","Washington","United States","Washington","King","Western Redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","1-29% of the canopy is unhealthy",5,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","20","Yes","30","",1,"Yes",0.05,"Large","Healthy","Healthy","Healthy","No","No"
"11",106949198,"Thu Feb 17 2022 16:41:04 GMT-0800 (PST)","2022-02-17","2022-02-18 00:41:04 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-18 00:47:35 UTC","2022-02-18 20:27:52 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/106949198","https://inaturalist-open-data.s3.amazonaws.com/photos/179777267/medium.jpg",NA,"","",1,0,"false",3,"19th Ave NW, Seattle, WA, US",47.6985166667,-122.3808416667,5,"",NA,NA,5,"","open","false","","","","King","Washington","United States","Washington","King","Western Redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",1,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","20","Yes","47","",0,"Yes",0.01,"Large","Healthy","Healthy","Healthy","No","No"
"12",106950175,"Thu Feb 17 2022 16:55:14 GMT-0800 (PST)","2022-02-17","2022-02-18 00:55:14 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-18 01:07:03 UTC","2022-02-18 20:29:58 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/106950175","https://inaturalist-open-data.s3.amazonaws.com/photos/179778669/medium.jpg",NA,"","",1,0,"false",3,"16th Ave NW, Seattle, WA, US",47.6888416667,-122.3779333333,65,"",NA,NA,65,"","open","false","","","","King","Washington","United States","Washington","King","Western Redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",5,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Lower slope","No","This is the first time I have seen this tree","20","No Selection","58","",0,"Yes",0.05,"Large","Healthy","Healthy","Healthy","No","No"
"13",107220192,"Mon Feb 21 2022 13:52:40 GMT-0800 (PST)","2022-02-21","2022-02-21 21:52:40 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-22 00:40:57 UTC","2022-02-26 06:31:19 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/107220192","https://inaturalist-open-data.s3.amazonaws.com/photos/180288436/medium.jpg",NA,"","",1,0,"false",3,"N 41st St, Seattle, WA, US",47.65638,-122.3561866667,4,"",NA,NA,4,"","open","false","","","","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",0,"0",0,"No","Evidence of soil compaction","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Lower slope","No","This is the first time I have seen this tree","45","Yes","2","This tree was hard to reach! Sorry for the bad pictures.",0,"Yes",0,"Large","Healthy","Healthy","Healthy","No","No"
"14",107220272,"Mon Feb 21 2022 14:05:24 GMT-0800 (PST)","2022-02-21","2022-02-21 22:05:24 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-22 00:42:09 UTC","2022-02-22 01:33:35 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/107220272","https://inaturalist-open-data.s3.amazonaws.com/photos/180288622/medium.jpg",NA,"","",1,0,"false",3,"Palatine Ave N, Seattle, WA, US",47.6603283333,-122.356095,5,"",NA,NA,5,"","open","false","","","","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","1-29% of the canopy is unhealthy",5,"0",0,"No","Evidence of soil compaction","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Lower slope","No","This is the first time I have seen this tree","20","Yes","3","",1,"Yes",0.05,"Large","Healthy","Healthy","Healthy","No","No"
