"","statistics","layersdepths","ID","lat","long","ph","om","clay","sand","silt","bd","hb","n","ksat","theta_r","theta_s","lambda","alpha"
"1","mean","0_5",4601133,47.7103004456,-122.3679733276,5.52617931365967,9.54112651627324,12.8830413818359,39.9638671875,34.5068435668945,1.05723357200623,1.50897184001928,1.39516592025757,9.481438497574,0.0470749735832214,0.601043939590454,0.35268047451973,0.668825041291855
"2","mean","0_5",19184654,47.7430914414,-122.3109349687,5.3470311164856,11.0322246640567,11.3289337158203,43.4345703125,38.6456527709961,0.971812844276428,1.2860018397942,1.3954268693924,8.7527185453809,0.0423945300281048,0.63327819108963,0.354756355285645,0.780250663405595
"3","mean","0_5",52964145,47.6509785313,-122.3072987795,5.2625904083252,11.659446338619,10.1997051239014,55.6198806762695,30.9823532104492,1.23446822166443,1.30890115678864,1.43328869342804,12.5773903531275,0.0442109405994415,0.534162938594818,0.382269561290741,0.765527818600854
"4","mean","0_5",61398540,47.6614026155,-122.2832440962,5.43283224105835,11.4885080721703,12.3091983795166,43.4414596557617,31.7578430175781,1.10941183567047,1.44614849288524,1.40519309043884,12.1630495688587,0.0461446717381477,0.581354081630707,0.355619370937347,0.687612483100013
"5","mean","0_5",61400313,47.6751263319,-122.2610672191,5.48495101928711,9.26692216726304,9.70058727264404,47.4677734375,37.0595703125,1.02041101455688,1.23760973233249,1.40349125862122,8.08744839457497,0.0408945307135582,0.614939332008362,0.361676752567291,0.794758299350795
"6","mean","0_5",61401102,47.6761844239,-122.2620814294,5.47396850585938,8.81247551382445,10.2380256652832,50.4677429199219,34.3209381103516,1.01893663406372,1.15808711457511,1.40664637088776,7.73176212970636,0.0416257306933403,0.615495681762695,0.359719276428223,0.865168875538728
"7","mean","0_5",61401305,47.6761706532,-122.2624612972,5.50160455703735,9.92588659603007,12.1256103515625,46.6660079956055,33.0044250488281,1.01128530502319,1.34862105360384,1.3825535774231,7.38117392194724,0.0437499992549419,0.618382930755615,0.347051322460175,0.734087441711972
"8","mean","0_5",61423931,47.6654002946,-122.2830562674,5.6043438911438,10.6390866143399,14.3234148025513,30.103515625,32.5684967041016,0.981847524642944,1.56419043080357,1.37882542610168,10.8297635277035,0.0497307330369949,0.629491567611694,0.346594721078873,0.642947620864488
"9","mean","0_5",61624246,47.7494723567,-122.2079986731,5.79938936233521,5.63614819465669,11.6457920074463,25.0440311431885,61.044921875,0.962366104125977,1.75816503628505,1.36127686500549,2.43041400037074,0.045937679708004,0.636843025684357,0.334518551826477,0.576009545280628
"10","mean","0_5",61624408,47.750082372,-122.2083493488,5.85833215713501,6.77982216179438,13.1559143066406,25.306640625,56.152645111084,0.997456014156342,1.83857443339977,1.35410976409912,2.8124388586703,0.0475696176290512,0.62360155582428,0.33098977804184,0.549097058225189
"11","mean","0_5",61624619,47.750931613,-122.2077266787,5.75676536560059,6.22839653010888,12.4726295471191,26.911937713623,53.2490234375,0.977116346359253,1.67483693267951,1.36990475654602,3.39829694349659,0.0464042797684669,0.631276905536652,0.337191700935364,0.598932244742236
"12","mean","0_5",62139519,47.188739637,-122.3279077002,6.01774549484253,5.68508340743092,12.0058708190918,23.0321636199951,63.7729034423828,0.989960730075836,1.95799247861595,1.34734404087067,2.25116179887505,0.0481481477618217,0.626429915428162,0.327427804470062,0.51017517957589
"13","mean","0_5",63186072,47.5499451813,-122.2555292119,5.49338102340698,9.33107205046321,12.6302642822266,41.6179313659668,35.8076171875,1.08914065361023,1.49478570147012,1.40168118476868,8.87760041362658,0.0467453673481941,0.589003562927246,0.353736817836761,0.67261389886144
"14","mean","0_5",63298788,47.30351667,-122.516525,5.51862573623657,9.9240599520272,12.8779296875,40.0165672302246,33.4461288452148,1.05733132362366,1.50841774622211,1.39545011520386,10.2203678911456,0.0470302440226078,0.601007103919983,0.35268047451973,0.668825041291855
"15","mean","0_5",63298939,47.49236667,-122.06390283,5.60495948791504,9.52924524487581,14.3517074584961,30.103515625,32.4364013671875,0.98517107963562,1.57053753166331,1.37637543678284,8.91433555430126,0.0498242191970348,0.628237366676331,0.344625979661942,0.640275949263161
"16","mean","0_5",65344987,47.0751628056,-122.9717604071,5.56678915023804,10.6146890922853,14.0640277862549,31.7346038818359,31.8310546875,0.993033289909363,1.55489602243618,1.37948346138,11.8372031664598,0.0484594330191612,0.625270485877991,0.34766685962677,0.645523453533108
"17","mean","0_5",65345686,47.0734039722,-122.974052,5.57514476776123,10.4696382002272,14.33984375,30.103515625,31.6813716888428,0.981811881065369,1.56966087304318,1.37758278846741,11.4439101168246,0.0498593747615814,0.629504919052124,0.344898462295532,0.640602266556171
"18","mean","0_5",65346596,47.073191,-122.973572,5.57891798019409,10.357469499353,14.3429279327393,30.103515625,31.6388072967529,0.981811881065369,1.56966087304318,1.37754881381989,11.3335880519877,0.0498593747615814,0.629504919052124,0.344807922840118,0.640602266556171
"19","mean","0_5",65827522,47.24783333,-122.48095833,5.56495380401611,10.3766634114207,13.5254650115967,35.7798461914062,32.2434158325195,1.02176582813263,1.54931622336349,1.38243174552917,10.9011483055361,0.0481388047337532,0.614428043365479,0.348651379346848,0.649780049933777
"20","mean","0_5",65827983,47.24966333,-122.48195,5.29550743103027,12.645603456211,11.0288372039795,50.9512672424316,30.6449546813965,1.18777346611023,1.35458432514622,1.42399704456329,13.4251147038748,0.0448521375656128,0.551783621311188,0.371456027030945,0.733898510042272
"21","mean","0_5",65828255,47.667575,-122.28566667,5.41104507446289,9.49036555945144,11.87890625,48.798828125,33.7485313415527,1.0040762424469,1.28337478728829,1.39010977745056,6.83652975181779,0.0432400405406952,0.621103346347809,0.354562640190125,0.77295971687627
"22","mean","0_5",66054060,47.7240478,-122.24479483,5.6079568862915,9.36407219059263,14.9469318389893,30.103515625,32.3787879943848,0.992167949676514,1.57386825831258,1.37095522880554,7.7966908571518,0.0500585362315178,0.62559700012207,0.344104111194611,0.63916652905845
"23","mean","0_5",66054151,47.72321235,-122.24449684,5.601722240448,9.18506416039994,15.2356090545654,30.5927734375,32.5713577270508,1.0105288028717,1.59971740198672,1.36713862419128,7.02499004025447,0.0504179708659649,0.618668377399445,0.339396476745605,0.615185153303278
"24","mean","0_5",66062190,47.7237474,-122.2460907,5.60783767700195,9.29142081350463,15.0365858078003,30.103515625,32.4384765625,1.00021529197693,1.5764589943709,1.36973679065704,7.44732755612807,0.0502734370529652,0.622560322284698,0.343950837850571,0.639072519639353
"25","mean","0_5",66197132,47.54998579,-122.25541078,5.49338102340698,9.33107205046321,12.6302642822266,41.6179313659668,35.8076171875,1.08914065361023,1.49478570147012,1.40168118476868,8.87760041362658,0.0467453673481941,0.589003562927246,0.353736817836761,0.67261389886144
"26","mean","0_5",66312732,47.337491,-122.78079,5.85504579544067,5.31278944215241,10.4618768692017,24.0444755554199,63.3136558532715,0.95348334312439,1.80041273922959,1.35971140861511,2.44206277997916,0.0447473153471947,0.640194952487946,0.334460973739624,0.559063232843886
"27","mean","0_5",66585862,47.302145,-122.52431333,5.33210754394531,11.5321686999459,10.884765625,51.5009765625,31.6900100708008,1.19273436069489,1.3470227673561,1.42452168464661,11.9902954486761,0.0446003898978233,0.549911618232727,0.372447371482849,0.73739950503536
"28","mean","0_5",66966170,47.35965333,-122.59307833,5.65235424041748,42.5759374239297,5.3602147102356,70.58203125,10.5547409057617,0.951094806194305,1.41639673343731,1.38823175430298,57.7392201586682,0.0529169142246246,0.641096293926239,0.363307237625122,0.649541651563613
"29","mean","0_5",66966372,47.35971167,-122.59216333,4.94000577926636,16.0075226956217,10.729941368103,55.2806091308594,22.998046875,1.12547326087952,1.26224870036633,1.40450990200043,14.1799204287994,0.0469882823526859,0.575293183326721,0.355770528316498,0.778989682956225
"30","mean","0_5",67182029,47.7023001324,-122.3092648925,5.6940975189209,7.35220060682839,11.435546875,35.7230911254883,49.6612892150879,0.972630023956299,1.50458814613725,1.37554883956909,4.47449125173229,0.0445213988423347,0.632969796657562,0.340853154659271,0.665216433584374
"31","mean","0_5",67542612,47.6252466667,-122.2997966667,5.58994150161743,10.0593112236579,14.0455436706543,31.892578125,32.51171875,0.993643581867218,1.55393084110238,1.37945127487183,10.1729661723972,0.0484516136348248,0.625040233135223,0.347746104001999,0.645958888314105
"32","mean","0_5",67542762,47.635475,-122.3067633333,5.54140853881836,10.4548141178464,13.349609375,36.7223320007324,34.0661125183105,1.02765846252441,1.54548046259199,1.38584792613983,10.1813132046726,0.0478965863585472,0.612204313278198,0.349134773015976,0.651117704012675
"33","mean","0_5",67548524,47.6256466667,-122.32447,5.56706809997559,10.075988728349,13.5087890625,35.8704795837402,32.36328125,1.02192187309265,1.54931622336349,1.38240742683411,9.99712101930419,0.0481135025620461,0.614369094371796,0.348687678575516,0.650258336312539
"34","mean","0_5",67558333,47.6307916667,-122.3163216667,5.51780796051025,9.93262942684679,13.0679368972778,38.5656204223633,31.7160301208496,1.04797077178955,1.51664418956351,1.39354872703552,11.0003804193004,0.0473385378718376,0.604539394378662,0.351802051067352,0.665579577074676
"35","mean","0_5",67590491,47.4658932933,-122.4595996596,5.59482002258301,9.48290515109353,14.3234148025513,30.103515625,31.6837768554688,0.981847524642944,1.56419043080357,1.37882542610168,10.3742711274118,0.0497307330369949,0.629491567611694,0.346594721078873,0.642947620864488
